,source,ego_pos,ego_init_speed,other_pos,other_init_speed,ped_delay,ped_init_speed,min_dist,min_angle,min_ttc,collision,oob,collision_speed
0,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-10-0-08_07_2021-06h46m09s.txt,100,10,0,10,0,10,0.9295664892132365,0.0,1.597686058562993,False,False,
1,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-10-10-08_07_2021-06h46m09s.txt,100,10,10,10,0,10,0.9268172854848515,0.0,inf,False,False,
2,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-10-15-08_07_2021-06h45m59s.txt,100,10,15,10,0,10,0.898427439155185,0.0,inf,False,False,
3,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-10-20-08_07_2021-06h45m30s.txt,100,10,20,10,0,10,0.8987809087905778,0.0,inf,False,False,
4,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-10-25-08_07_2021-06h45m29s.txt,100,10,25,10,0,10,0.9008167981905868,0.0,inf,False,False,
5,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-10-5-08_07_2021-06h45m29s.txt,100,10,5,10,0,10,0.9202052155456499,0.0,inf,False,False,
6,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-20-0-08_07_2021-06h44m58s.txt,100,10,0,20,0,10,1.0120956873679519,0.0,inf,False,False,
7,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-20-10-08_07_2021-06h44m58s.txt,100,10,10,20,0,10,0.9730701166108613,0.0,inf,False,False,
8,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-20-15-08_07_2021-06h44m56s.txt,100,10,15,20,0,10,0.9797623872899432,0.0,1.7532863239461132,False,False,
9,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-20-20-08_07_2021-06h44m25s.txt,100,10,20,20,0,10,0.9428343808184989,0.0,1.7952517008246054,False,False,
10,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-20-25-08_07_2021-06h44m24s.txt,100,10,25,20,0,10,0.93149469715586,0.0,1.7631123410581653,False,False,
11,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-20-5-08_07_2021-06h44m24s.txt,100,10,5,20,0,10,0.9579997690163782,0.0,inf,False,False,
12,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-30-0-08_07_2021-06h43m52s.txt,100,10,0,30,0,10,1.063735769901493,0.0,inf,False,False,
13,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-30-10-08_07_2021-06h43m51s.txt,100,10,10,30,0,10,1.0119452801216555,0.0,inf,False,False,
14,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-30-15-08_07_2021-06h43m52s.txt,100,10,15,30,0,10,0.9562343961682123,0.0,1.7011378904806587,False,False,
15,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-30-20-08_07_2021-06h43m20s.txt,100,10,20,30,0,10,0.9498368694132298,0.0,inf,False,False,
16,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-30-25-08_07_2021-06h43m20s.txt,100,10,25,30,0,10,0.9630808906898172,0.0,inf,False,False,
17,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-30-5-08_07_2021-06h43m19s.txt,100,10,5,30,0,10,1.0625211026130765,0.0,inf,False,False,
18,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-40-0-08_07_2021-06h42m48s.txt,100,10,0,40,0,10,0.991384913182098,0.0,1.623133584266412,False,False,
19,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-40-10-08_07_2021-06h42m48s.txt,100,10,10,40,0,10,0.973098471911491,0.0,inf,False,False,
20,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-40-15-08_07_2021-06h42m46s.txt,100,10,15,40,0,10,1.0495812382775607,0.0,inf,False,False,
21,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-40-20-08_07_2021-06h42m15s.txt,100,10,20,40,0,10,0.9623080734059428,0.0,1.6557323980820755,False,False,
22,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-40-25-08_07_2021-06h42m15s.txt,100,10,25,40,0,10,1.0810989239577093,0.0,1.6794126025168195,False,False,
23,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-40-5-08_07_2021-06h42m14s.txt,100,10,5,40,0,10,1.0625099452902798,0.0,inf,False,False,
24,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-50-0-08_07_2021-06h41m43s.txt,100,10,0,50,0,10,1.1090068910833906,0.0,inf,False,False,
25,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-50-10-08_07_2021-06h41m43s.txt,100,10,10,50,0,10,1.1041741804569951,0.0,inf,False,False,
26,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-50-15-08_07_2021-06h41m42s.txt,100,10,15,50,0,10,1.0549656654181447,0.0,1.6631427348569938,False,False,
27,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-50-20-08_07_2021-06h41m08s.txt,100,10,20,50,0,10,1.001127866886573,0.0,inf,False,False,
28,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-50-25-08_07_2021-06h41m04s.txt,100,10,25,50,0,10,0.9649197981457047,0.0,inf,False,False,
29,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-50-5-08_07_2021-06h41m03s.txt,100,10,5,50,0,10,1.1299625507387452,0.0,inf,False,False,
30,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-60-0-08_07_2021-06h40m33s.txt,100,10,0,60,0,10,1.2522232888882456,0.0,inf,False,False,
31,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-60-10-08_07_2021-06h40m33s.txt,100,10,10,60,0,10,1.1326832436516288,0.0,inf,False,False,
32,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-60-15-08_07_2021-06h40m33s.txt,100,10,15,60,0,10,1.1270879025785083,0.0,1.6174646487000195,False,False,
33,C:\Users\stepthun\AppData\Local\record2_analysis\foo_Crossing_10-0-10-100-60-20-08_07_2021-06h40m02s.txt,100,10,20,60,0,10,0.9755773598463673,0.0,1.6518273910161625,False,False,
